영화제목,에그지수,성별,연령별,감독/등장인물,관람포인트,실관람평개수
매트릭스3 레볼루션,0.0,,,"감독 앤디 워쇼스키, 감독 라나 워쇼스키, 키아누 리브스, 모니카 벨루치, 로렌스 피쉬번",영상미가 뛰어나고 몰입하여 보게 되는 영화,0
써클,,,,"감독 박기형, 김혜성, 이행석, 이태성, 장희진",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
폴리와 함께,0.0,,,"감독 존 햄버거, 필립 세이무어 호프만, 데브라 메싱, 제니퍼 애니스톤, 알렉 볼드윈",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
온화한 일상,,,,,스토리가 탄탄하고 공감되는 영화,5
시월애,95.0,"성별예매 분포: 남 45%, 여 55%","연령별예매 분포: 10대 2%, 20대 31%, 30대 40%, 40대 14%, 50대 13%","감독 이현승, 이인철, 전지현, 이정재, 김무생",영상미가 뛰어나고 감동적인 영화,238
보리밭을 흔드는 바람,99.0,"성별예매 분포: 남 39%, 여 61%","연령별예매 분포: 10대 2%, 20대 28%, 30대 33%, 40대 18%, 50대 19%","킬리언 머피, 감독 켄 로치",배우연기가 메소드급인 몰입하여 보게 되는 영화,862
파이란,95.0,"성별예매 분포: 남 63%, 여 37%","연령별예매 분포: 10대 2%, 20대 24%, 30대 38%, 40대 21%, 50대 16%","감독 송해성, 최민식, 김지영, 손병호, 공형진",배우연기가 메소드급인 감동적인 영화,264
번지점프를 하다,94.0,"성별예매 분포: 남 32%, 여 68%","연령별예매 분포: 10대 1%, 20대 31%, 30대 39%, 40대 18%, 50대 11%",,배우연기가 메소드급인 몰입하여 보게 되는 영화,356
쓰레기,,,,"감독 모함마드 아흐마디, 모하마드 에스칸다리, 파르진 모하데스",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
위대한 개츠비,,,,,,0
동감,,,,,스토리가 탄탄하고 몰입하여 보게 되는 영화,1
비포 미드나잇,92.0,"성별예매 분포: 남 35%, 여 65%","연령별예매 분포: 10대 0%, 20대 40%, 30대 40%, 40대 13%, 50대 7%","감독 리처드 링클레이터, 줄리 델피, 에단 호크",배우연기가 메소드급인 몰입하여 보게 되는 영화,3720
봄날은 간다,97.0,"성별예매 분포: 남 45%, 여 55%","연령별예매 분포: 10대 1%, 20대 37%, 30대 38%, 40대 14%, 50대 10%","감독 허진호, 유지태, 이문식, 이영애, 박인환",배우연기가 메소드급인 공감되는 영화,1220
디셈버,88.0,"성별예매 분포: 남 45%, 여 55%","연령별예매 분포: 10대 0%, 20대 22%, 30대 33%, 40대 23%, 50대 22%","감독 토드 헤인즈, 찰스 멜튼, 나탈리 포트만, 줄리안 무어",배우연기가 메소드급인 몰입하여 보게 되는 영화,2736
후회하지 않아,0.0,"성별예매 분포: 남 23%, 여 77%","연령별예매 분포: 10대 1%, 20대 34%, 30대 46%, 40대 16%, 50대 3%","감독 이송희일, 이한(1), 김정화, 이영훈",감독연출가 훌륭하고 몰입하여 보게 되는 영화,161
지랄,95.0,,"연령별예매 분포: 10대 3%, 20대 45%, 30대 26%, 40대 17%, 50대 8%","케이티 스튜어트, 블레이크 제너, 카이라 세드윅, 우디 해럴슨, 헤일리 스타인펠드",배우연기가 메소드급인 공감되는 영화,0
고티카,0.0,,,"감독 마티유 카소비츠, 페넬로페 크루즈, 할리 베리, 버나드 힐, 찰스 더튼, 로버트 다우니 주니어",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
프레스티지,0.0,,,"감독 크리스토퍼 놀란, 휴 잭맨, 크리스찬 베일, 스칼렛 요한슨, 마이클 케인",감독연출가 훌륭하고 몰입하여 보게 되는 영화,0
아수라,64.0,,,"감독 김성수, 정우성, 황정민, 차래형, 주지훈",,0
동사서독 리덕스,93.0,"성별예매 분포: 남 37%, 여 63%","연령별예매 분포: 10대 2%, 20대 31%, 30대 32%, 40대 20%, 50대 14%","감독 왕가위, 양조위, 장국영, 장만옥, 양가휘",영상미가 뛰어나고 몰입하여 보게 되는 영화,1317
천녀유혼 2-인간도,90.0,"성별예매 분포: 남 50%, 여 50%","연령별예매 분포: 10대 1%, 20대 22%, 30대 41%, 40대 27%, 50대 9%","감독 정소동, 이가흔, 이자웅, 우마, 장국영",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
