영화제목,에그지수,관람포인트,실관람평개수,감독1,감독2,감독3,감독4,감독5,배우1,배우2,배우3,배우4,배우5,배우6,남자,여자,10대,20대,30대,40대,50대
시월애,95.0,영상미가 뛰어나고 감동적인 영화,238,이현승,,,,,이인철,전지현,이정재,김무생,,,45,55,2,31,40,14,13
보리밭을 흔드는 바람,99.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,862,켄 로치,,,,,킬리언 머피,,,,,,39,61,2,28,33,18,19
파이란,95.0,배우연기가 메소드급인 감동적인 영화,264,송해성,,,,,최민식,김지영,손병호,공형진,,,63,37,2,24,38,21,16
비포 미드나잇,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,3720,리처드 링클레이터,,,,,줄리 델피,에단 호크,,,,,35,65,0,40,40,13,7
봄날은 간다,97.0,배우연기가 메소드급인 공감되는 영화,1220,허진호,,,,,유지태,이문식,이영애,박인환,,,45,55,1,37,38,14,10
디셈버,88.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,2736,토드 헤인즈,,,,,찰스 멜튼,나탈리 포트만,줄리안 무어,,,,45,55,0,22,33,23,22
동사서독 리덕스,93.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,1317,왕가위,,,,,양조위,장국영,장만옥,양가휘,,,37,63,2,31,32,20,14
기념일,84.0,배우연기가 메소드급인 유쾌한 영화,3442,김민하,,,,,강신희,손주연,정하담,,,,46,54,6,18,25,24,27
종횡사해,98.0,배우연기가 메소드급인 기분이 좋아지는 영화,197,오우삼,,,,,주윤발,장국영,,,,,36,64,1,28,37,25,10
흑역사,88.0,배우연기가 메소드급인 유쾌한 영화,298,알리체 필리피,,,,,주세페 마조,루도비카 프란체스코니,,,,,41,59,0,16,38,21,25
나츠,92.0,영상미가 뛰어나고 감동적인 영화,3661,,,,,,시마모토 스미,코라 켄고,코바야시 사나에,이노우에 카즈히코,카미야 히로시,무라세 아유무,17,83,7,46,25,17,5
퍼레이드,99.0,영상미가 뛰어나고 감동적인 영화,476,박재석,,,,,,,,,,,5,95,1,6,21,39,33
늦여름,92.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,141,조성규,,,,,조선묵,허동원,전석호,정연주,,,59,42,0,27,37,23,12
세이프,87.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,209,다니엘 에스피노사,,,,,라이언 레이놀즈,덴젤 워싱턴,,,,,56,44,1,28,38,33,0
일대종사,89.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,2993,왕가위,,,,,양조위,송혜교,장쯔이,장첸,,,43,57,1,27,40,23,10
9월이 지나면,94.0,감독연출가 훌륭하고 감동적인 영화,18,조현철,고형동,,,,임지연,조현철,박혜수,,,,30,70,4,45,31,14,6
범죄의 재구성,95.0,배우연기가 메소드급인 몰입하여 보게 되는 영화,557,최동훈,,,,,염정아,백윤식,천호진,이문식,,,44,56,0,42,34,13,11
도터,82.0,배우연기가 메소드급인 감동적인 영화,2127,가브리엘 무치노,,,,,아만다 사이프리드,아론 폴,러셀 크로우,,,,32,68,3,38,31,20,9
팀 버튼의 크리스마스 악몽,97.0,영상미가 뛰어나고 몰입하여 보게 되는 영화,859,헨리 셀릭,,,,,대니 엘프먼,윌리엄 히키,크리스 서랜던,폴 루벤스,,,34,66,5,39,31,15,10
피아노 연주,85.0,OST가 명곡인 몰입하여 보게 되는 영화,394,페르난도 트루에바,하비에르 마리스칼,,,,제프 골드브럼,,,,,,49,51,1,17,30,28,25
